,Date,Open,High,Low,Close,Volume,Adj Close
0,"Jun 01, 2021",504.01,536.13,482.14,528.21,"78,560,600",528.21
1,"May 01, 2021",512.65,518.95,478.54,502.81,"66,927,600",502.81
2,"Apr 01, 2021",529.93,563.56,499.00,513.47,"111,573,300",513.47
3,"Mar 01, 2021",545.57,556.99,492.85,521.66,"90,183,900",521.66
4,"Feb 01, 2021",536.79,566.65,518.28,538.85,"61,902,300",538.85
5,"Jan 01, 2021",539.00,593.29,485.67,532.39,"139,988,600",532.39
6,"Dec 01, 2020",492.34,545.50,491.29,540.73,"77,564,100",540.73
7,"Nov 01, 2020",478.87,518.73,463.41,490.70,"91,788,900",490.70
8,"Oct 01, 2020",506.03,572.49,472.21,475.74,"154,302,400",475.74
9,"Sep 01, 2020",532.60,557.39,458.60,500.03,"118,796,900",500.03
10,"Aug 01, 2020",490.86,549.04,466.55,529.56,"116,261,900",529.56
11,"Jul 01, 2020",454.00,575.37,454.00,488.88,"232,206,300",488.88
12,"Jun 01, 2020",418.83,474.01,404.25,455.04,"117,279,900",455.04
13,"May 01, 2020",415.10,458.97,397.86,419.73,"135,055,800",419.73
14,"Apr 01, 2020",376.05,449.52,357.51,419.85,"225,111,600",419.85
15,"Mar 01, 2020",373.11,393.52,290.25,375.50,"201,979,100",375.50
16,"Feb 01, 2020",347.24,392.95,346.28,369.03,"114,056,000",369.03
17,"Jan 01, 2020",326.10,359.85,321.20,345.09,"169,874,000",345.09
18,"Dec 01, 2019",314.39,338.00,292.02,323.57,"124,723,600",323.57
19,"Nov 01, 2019",288.70,316.82,281.14,314.66,"113,645,900",314.66
20,"Oct 01, 2019",267.35,308.75,257.01,287.41,"231,556,400",287.41
21,"Sep 01, 2019",290.82,301.55,252.28,267.62,"175,411,300",267.62
22,"Aug 01, 2019",324.25,328.58,287.20,293.75,"137,076,700",293.75
23,"Jul 01, 2019",373.50,384.76,305.81,322.99,"196,652,500",322.99
24,"Jun 01, 2019",343.56,375.00,332.65,367.32,"111,052,000",367.32
25,"May 01, 2019",374.00,385.99,341.39,343.28,"125,298,300",343.28
26,"Apr 01, 2019",359.00,384.80,342.27,370.54,"165,079,400",370.54
27,"Mar 01, 2019",362.26,379.00,342.47,356.56,"144,843,100",356.56
28,"Feb 01, 2019",337.18,371.49,336.50,358.10,"148,192,100",358.10
29,"Jan 01, 2019",259.28,358.85,256.58,339.50,"306,616,400",339.50
30,"Dec 01, 2018",293.19,298.72,231.23,267.66,"234,310,000",267.66
31,"Nov 01, 2018",304.59,332.05,250.00,286.13,"257,126,400",286.13
32,"Oct 01, 2018",375.85,386.80,271.21,301.78,"363,589,800",301.78
33,"Sep 01, 2018",366.47,383.20,335.83,374.13,"170,832,100",374.13
34,"Aug 01, 2018",335.87,376.81,310.93,367.68,"213,122,300",367.68
35,"Jul 01, 2018",385.45,419.77,328.00,337.45,"305,393,800",337.45
36,"Jun 01, 2018",353.88,423.21,352.82,391.43,"244,031,800",391.43
37,"May 01, 2018",310.36,356.10,305.73,351.60,"142,050,800",351.60
38,"Apr 01, 2018",291.94,338.82,271.22,312.46,"262,006,000",312.46
39,"Mar 01, 2018",292.75,333.98,275.90,295.35,"263,449,400",295.35
40,"Feb 01, 2018",266.41,297.36,236.11,291.38,"184,585,800",291.38
41,"Jan 01, 2018",196.10,286.81,195.42,270.30,"238,377,600",270.30
42,"Dec 01, 2017",186.99,194.49,178.38,191.96,"115,103,700",191.96
43,"Nov 01, 2017",197.24,202.48,184.32,187.58,"110,996,600",187.58
44,"Oct 01, 2017",182.11,204.38,176.58,196.43,"208,657,800",196.43
45,"Sep 01, 2017",175.55,189.95,172.44,181.35,"111,427,900",181.35
46,"Aug 01, 2017",182.49,184.62,164.23,174.71,"136,534,400",174.71
47,"Jul 01, 2017",149.80,191.50,144.25,181.66,"185,144,700",181.66
48,"Jun 01, 2017",163.52,166.87,147.30,149.41,"135,699,700",149.41
49,"May 01, 2017",151.91,164.75,151.61,163.07,"116,795,800",163.07
50,"Apr 01, 2017",146.70,153.52,138.66,152.20,"149,779,000",152.20
51,"Mar 01, 2017",142.84,148.29,138.26,147.81,"110,692,700",147.81
52,"Feb 01, 2017",141.20,145.95,139.05,142.13,"91,444,800",142.13
53,"Jan 01, 2017",124.96,143.46,124.31,140.71,"181,814,100",140.71
54,"Dec 01, 2016",117.52,129.07,113.95,123.80,"128,528,700",123.80
55,"Nov 01, 2016",124.98,125.83,110.68,117.00,"147,513,000",117.00
56,"Oct 01, 2016",98.00,129.29,97.63,124.87,"274,097,800",124.87
57,"Sep 01, 2016",97.81,100.35,93.26,98.55,"169,670,600",98.55
58,"Aug 01, 2016",91.23,98.85,90.50,97.45,"182,611,000",97.45
59,"Jul 01, 2016",95.00,101.27,84.50,91.25,"320,138,000",91.25
60,"Jun 01, 2016",101.50,102.15,84.81,91.48,"218,216,500",91.48
61,"May 01, 2016",90.41,104.00,85.74,102.57,"264,997,900",102.57
62,"Apr 01, 2016",102.93,111.85,88.21,90.03,"340,174,300",90.03
63,"Mar 01, 2016",94.58,104.91,93.61,102.23,"311,333,700",102.23
64,"Feb 01, 2016",91.79,97.48,79.95,93.41,"389,268,900",93.41
65,"Jan 01, 2016",109.00,122.18,90.11,91.84,"488,193,200",91.84
66,"Dec 01, 2015",124.47,133.27,113.85,114.38,"319,939,200",114.38
67,"Nov 01, 2015",109.20,126.60,101.86,123.33,"320,321,800",123.33
68,"Oct 01, 2015",102.91,115.83,96.26,108.38,"446,204,400",108.38
69,"Sep 01, 2015",109.35,111.24,93.55,103.26,"497,401,200",103.26
